1
510.5054,198.4539,54.6577,30.1738
505.0524,198.2887,54.6577,30.1738
491.5104,199.9059,52.9892,29.2527
479.3431,200.1922,51.3717,28.3597
476.3922,199.7263,51.3717,28.3597
460.8689,199.3826,49.8036,27.4941
444.9160,197.2425,48.2833,26.6548
440.0989,195.3449,48.2833,26.6548
428.3794,191.8535,49.8264,27.5067
417.4905,187.9493,51.4189,28.3858
409.6735,185.7858,53.0622,29.2930
403.2109,187.4031,54.7581,30.2292
392.2375,183.4436,56.5082,31.1953
385.3552,180.3825,58.3142,32.1923
385.3048,182.8651,60.1779,33.2212
378.2095,185.5941,60.1779,33.2212
389.4373,200.1636,62.1012,34.2830
390.1974,202.7521,60.2055,33.2365
385.6470,201.4780,60.2055,33.2365
386.7479,201.8032,58.3677,32.2219
382.6893,203.7443,58.3677,32.2219
380.9333,205.4713,56.5860,31.2383
377.8051,204.4589,58.3945,32.2367
377.6285,204.6354,58.3945,32.2367
376.5779,207.7755,56.6120,31.2527
376.5862,210.8198,54.8839,30.2987
372.6119,210.1208,53.2086,29.3738
381.2525,208.8470,54.9091,30.3126
381.9246,209.4757,53.2330,29.3873
378.9818,208.2014,54.9343,30.3265
377.9378,208.5472,56.6900,31.2957
377.9461,211.9384,54.9595,30.3404
375.2402,210.9551,56.7160,31.3101
372.6682,210.7837,56.7160,31.3101
373.7053,209.0325,54.9848,30.3543
371.7185,209.9945,53.3063,29.4278
374.4582,211.1226,53.3063,29.4278
376.0776,212.6998,51.6792,28.5295
377.6476,213.9164,50.1016,27.6586
369.7785,220.8518,48.5723,26.8143
368.6109,220.8205,47.0896,25.9958
371.4174,222.8252,48.5946,26.8266
375.5381,222.5001,47.1112,26.0077
376.9693,221.0455,45.6731,25.2138
383.3277,220.1876,44.2789,24.4442
390.2952,222.0332,42.9273,23.6980
391.0802,221.7460,41.6169,22.9746
392.7158,221.8718,41.6169,22.9746
390.9604,222.3483,40.3466,22.2733
392.7901,222.4703,40.3466,22.2733
396.2114,221.9564,39.1150,21.5934
398.4582,220.8921,39.1150,21.5934
397.7544,220.6304,37.9210,20.9343
396.8045,224.9963,39.1329,21.6033
400.3595,226.6274,37.9384,20.9439
402.3093,225.1363,37.9384,20.9439
411.9494,222.8180,36.7803,20.3046
416.9532,227.8218,36.7803,20.3046
420.1779,228.1553,36.7803,20.3046
437.6356,224.7083,36.7803,20.3046
438.5305,228.4653,35.6576,19.6848
443.7102,231.2451,34.5691,19.0839
449.7769,233.9401,33.5139,18.5013
456.4689,237.5661,32.4909,17.9366
459.9069,239.4324,32.4909,17.9366
471.7924,242.0846,32.4909,17.9366
472.9431,243.0749,33.5293,18.5098
475.6800,244.7981,33.5293,18.5098
484.4025,250.4531,32.5058,17.9448
481.6556,259.8663,31.5135,17.3970
490.7065,262.4387,31.5135,17.3970
496.3957,265.3047,32.5207,17.9531
503.3762,274.0550,32.5207,17.9531
506.5272,276.7869,31.5280,17.4050
507.8662,274.6696,30.5656,16.8737
509.2523,279.1976,30.5656,16.8737
509.3447,279.6596,30.5656,16.8737
506.1105,281.7850,30.5656,16.8737
511.1049,280.2868,29.6326,16.3587
512.1843,279.1927,28.7280,15.8593
515.0504,277.8899,28.7280,15.8593
515.8321,281.7982,28.7280,15.8593
518.7602,282.3265,29.6462,16.3662
531.7562,280.4443,29.6462,16.3662
